dataset_a,label_a_id,label_a_name,dataset_b,label_b_id,label_b_name,score_a_to_b,score_b_to_a,relation_score,pass_threshold
MNIST,3,3,EMNIST,22,M,0.016993746161460876,0.00023616885300725698,0.008614957507234067,False
MNIST,3,3,EMNIST,23,N,0.010592560283839703,1.394882292515831e-05,0.0053032545533824305,False
MNIST,3,3,EMNIST,24,O,0.009962950833141804,0.0004081553197465837,0.005185553076444194,False
MNIST,3,3,EMNIST,25,P,0.026190683245658875,0.0015331661561504006,0.013861924700904638,False
MNIST,3,3,EMNIST,26,Q,0.021410059183835983,0.00038162904093042016,0.010895844112383202,False
MNIST,3,3,EMNIST,27,R,0.04821344465017319,0.00011118304973933846,0.024162313849956263,False
MNIST,3,3,EMNIST,28,S,0.28270190954208374,0.05355481430888176,0.16812836192548275,True
MNIST,3,3,EMNIST,29,T,0.05134047940373421,0.00459696352481842,0.027968721464276314,False
MNIST,3,3,EMNIST,30,U,0.015741191804409027,5.086139572085813e-05,0.007896026600064943,False
MNIST,3,3,EMNIST,31,V,0.010305145755410194,6.382775609381497e-06,0.005155764265509788,False
MNIST,3,3,EMNIST,32,W,0.019696975126862526,4.237343546265038e-06,0.009850606235204395,False
MNIST,3,3,EMNIST,33,X,0.054470449686050415,0.00012586728553287685,0.027298158485791646,False
MNIST,3,3,EMNIST,34,Y,0.01956881396472454,0.0004709276254288852,0.010019870795076713,False
MNIST,3,3,EMNIST,35,Z,0.15318235754966736,0.0007477799663320184,0.07696506875799969,False
MNIST,3,3,EMNIST,36,a,0.0302257239818573,0.005073080770671368,0.017649402376264334,False
MNIST,3,3,EMNIST,37,b,0.02787049114704132,0.0002295871963724494,0.014050039171706885,False
MNIST,3,3,EMNIST,38,c,0.06115107983350754,6.40134239802137e-05,0.030607546628743876,False
MNIST,3,3,EMNIST,39,d,0.04347413033246994,0.004173171706497669,0.023823651019483805,False
MNIST,3,3,EMNIST,40,e,0.07714970409870148,0.00023534090723842382,0.03869252250296995,False
MNIST,3,3,EMNIST,41,f,0.04300306364893913,0.0006366852321662009,0.021819874440552667,False
MNIST,3,3,EMNIST,42,g,0.05714980512857437,0.016747068613767624,0.036948436871171,False
MNIST,3,3,EMNIST,43,h,0.03001224622130394,3.215442848159e-05,0.015022200324892765,False
MNIST,3,3,EMNIST,44,i,0.016961093991994858,0.00035438797203823924,0.008657740982016549,False
MNIST,3,3,EMNIST,45,j,0.06134231016039848,0.002951189409941435,0.03214674978516996,False
MNIST,3,3,EMNIST,46,k,0.02256595529615879,9.623696314520203e-06,0.011287789496236655,False
MNIST,3,3,EMNIST,47,l,0.0054979482665658,9.975569264497608e-05,0.002798851979605388,False
MNIST,3,3,EMNIST,48,m,0.025336915627121925,2.8415906854206696e-05,0.012682665766988066,False
MNIST,3,3,EMNIST,49,n,0.012455327436327934,7.613449997734278e-05,0.0062657309681526385,False
MNIST,3,3,EMNIST,50,o,0.02970600686967373,5.3846171795157716e-05,0.014879926520734443,False
MNIST,3,3,EMNIST,51,p,0.0313788577914238,0.00016273189976345748,0.015770794845593628,False
MNIST,3,3,EMNIST,52,q,0.03465309366583824,0.0022101160138845444,0.018431604839861393,False
MNIST,3,3,EMNIST,53,r,0.014006564393639565,3.7338282709242776e-05,0.007021951338174404,False
MNIST,3,3,EMNIST,54,s,0.2325693666934967,0.005499078426510096,0.1190342225600034,True
MNIST,3,3,EMNIST,55,t,0.025652840733528137,0.007922112010419369,0.016787476371973753,False
MNIST,3,3,EMNIST,56,u,0.018403321504592896,1.283812707697507e-05,0.009208079815834935,False
MNIST,3,3,EMNIST,57,v,0.014577439054846764,3.2783725600893376e-06,0.0072903587137034265,False
MNIST,3,3,EMNIST,58,w,0.02973831631243229,6.314243364613503e-06,0.014872315277898451,False
MNIST,3,3,EMNIST,59,x,0.030377883464097977,0.0001697404804872349,0.015273811972292606,False
